序號,GPS座標X,GPS座標Y,傍晚車潮,早上車潮,夜間,節假日,日間時段,傍晚車潮時段,早上車潮時段,交岔路口內,交岔路口附近,慢車道,一般車道,寬式分向設施,無分向設施,無標記雙向禁止超車線,中區,北區,北屯區,南區,后里區,大雅區,沙鹿區,潭子區,烏日區,西屯區,豐原區,晴天,分道設施--寬式快慢車道分隔島(50cm以上),快慢車道間有快慢車道分隔線,快慢車道間未繪設快慢車道分隔線,快車道或一般車道間無標記,快車道或一般車道間未繪設車道線,無號誌,行車管制號誌(附設行人專用號誌),閃光號誌,無號誌.1,號誌種類缺失,路面狀態乾燥,路面缺陷濕潤,其他路面缺陷,有路面邊線,無路面邊線,彎曲路及附近,直路,三岔路,四岔路,有道路照明設備且開啟,有道路照明設備未開啟,無道路照明設備,道路速限,Y_事故嚴重度,y_true,y_prob,prediction
8423,120.58458,24.113215,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,1,0,0,0,0,0,1,30.0,1,1,0.627262206632618,需人工確認
57366,120.547526,24.266587,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0,0,0,0,1,0,0,1,50.0,0,0,0.5473023469404849,需人工確認
66114,120.654795,24.3303,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,50.0,0,0,0.5316444608144756,需人工確認
20048,120.68833,24.182113,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,0,0,0.431559608069709,需人工確認
64543,120.682409,24.201462,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,1,50.0,0,0,0.4815856871912992,需人工確認
70360,120.697117,24.08437,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,0,0,0.4519622406223372,需人工確認
61832,120.658107,24.055628,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,30.0,1,1,0.4879681267524404,需人工確認
61088,120.725896,24.309184,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,1,1,0.3638591766305061,需人工確認
67277,120.711961,24.140937,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,50.0,0,0,0.5098002934433596,需人工確認
5737,120.686227,24.188886,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,50.0,1,1,0.4527591395611586,需人工確認
